unit_id,ecephys_structure_acronym,stimulus,block,R_tot,tau_R,tau_single,tau_double,firing_rate,median_ISI,CV_ISI,structure_name,layer
951027497,VISp,spontaneous,averaged,0.08121581293712578,0.024083725904891863,0.35126128011746394,0.3171452593579409,7.452454732222277,0.03564453,2.0363724,V1,2/3
951027545,VISrl,spontaneous,averaged,0.007929342440861069,0.07975360632505277,0.5273363238938449,0.5274746740725015,7.491574918211965,0.09277344,1.011976,RL,2/3
951027638,VISp,spontaneous,averaged,0.05803447496097664,0.014684063373348917,0.12847376557714763,0.0007727846517908477,0.08321713402957115,5.059326,1.4181541,V1,2/3
951027713,VISp,spontaneous,averaged,0.12206727808667747,0.04723040166984182,0.3788723560362294,0.378872045933818,1.3533937403623917,0.10546875,2.0442429,V1,2/3
951027999,VISp,spontaneous,averaged,0.02858663796592915,0.07490259675906925,0.46222492441851437,0.4622234925502964,4.080466110999554,0.12109375,1.433935,V1,2/3
951028141,VISrl,spontaneous,averaged,0.05817219341822093,0.023170973637845087,0.02206782866064949,0.0220046731196831,1.14454330587178,0.39501953,1.5004102,RL,5
951028238,VISrl,spontaneous,averaged,0.08647962952605717,0.07580333050626886,0.5520794171822571,0.5520776673894319,1.402788209054316,0.14746094,2.263143,RL,4
951028258,VISrl,spontaneous,averaged,0.060345665803277805,0.022917560879573345,0.32493598063468954,0.08331028508817274,3.0442373682703137,0.091796875,1.7124481,RL,4
951028277,VISrl,spontaneous,averaged,0.014273124116877768,0.0,0.20103599048460175,0.16973717741132802,0.6121641296151172,0.9724121,1.1999981,RL,4
951028324,VISrl,spontaneous,averaged,0.0898621398515508,0.03003403832870569,0.24401690138541537,0.10458495349264695,0.3693212390634098,0.43066406,1.7962939,RL,2/3
951028398,VISrl,spontaneous,averaged,0.07049724029826733,0.024348464398860774,0.17042450370439827,0.1528671916068088,0.09283324049566566,3.4658203,1.4524362,RL,2/3
951028439,VISp,spontaneous,averaged,0.042476804661080225,0.09158411651857157,0.8851380731286912,0.5622607470812815,4.70949437323112,0.115722656,1.5268633,V1,5
951028481,VISp,spontaneous,averaged,0.03733877526050658,0.03776009742075885,0.18408273790761495,0.1824110395368468,0.39291621041854397,1.1396484,1.2652837,V1,2/3
951028618,VISp,spontaneous,averaged,0.1135799431999906,0.0,0.06635877696975419,0.06634544147043962,0.14452379384282293,1.9047852,1.4781862,V1,2/3
951028685,LGd,spontaneous,averaged,0.13393210900457012,0.018981394409527088,0.982439133201774,0.034764082557824746,1.4691970983027847,0.109375,1.8404132,LGN,NoLayer
951028692,LGd,spontaneous,averaged,0.0858160770114181,0.03670824101485133,0.4978853833666116,0.2858563474597775,9.37358431050494,0.030761719,1.9449311,LGN,NoLayer
951028714,LGd,spontaneous,averaged,0.07871193618476142,0.0649453077387959,1.5336596964440343,0.4613377690825616,5.909221420218495,0.052734375,1.8676629,LGN,NoLayer
